Immigration Overview,,,,,,,,,,
,,,,,,,,,,
"Canada - Permanent residents by source country, 2007  - 2016",,,,,,,,,,
,,,,,,,,,,
Source country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Philippines,"19,833","24,883","28,568","38,615","36,758","34,299","29,531","40,032","50,827","41,791"
India,"28,729","28,255","29,448","34,224","27,485","30,914","33,078","38,333","39,526","39,789"
Syria,"1,056",919,917,"1,040","1,005",649,"1,008","2,051","9,854","34,925"
"China, People's Republic of","27,629","30,030","29,617","30,378","28,491","33,009","34,114","24,627","19,533","26,852"
Pakistan,"10,123","8,984","7,213","6,810","7,467","11,208","12,609","9,114","11,329","11,337"
United States of America,"9,459","10,186","8,994","8,139","7,671","7,870","8,485","8,491","7,521","8,409"
Iran,"6,974","6,474","6,580","7,477","7,479","7,525","11,288","16,772","11,668","6,483"
France,"4,289","4,532","5,051","4,646","4,080","6,270","5,623","4,718","5,807","6,348"
United Kingdom and Colonies,"8,213","8,975","8,872","8,715","6,128","6,171","5,814","5,759","5,450","5,812"
Eritrea,699,797,903,931,"1,182","1,335","1,719","1,974","2,171","4,629"
Nigeria,"2,371","2,108","3,156","3,906","3,102","3,441","4,171","4,160","4,133","4,424"
"Korea, Republic of","5,912","7,291","5,873","5,537","4,588","5,315","4,509","4,458","4,091","4,007"
Jamaica,"2,141","2,334","2,456","2,321","2,059","2,173","2,480","3,050","3,426","3,557"
Mexico,"3,238","2,853","3,092","3,861","3,947","4,227","3,995","4,478","3,231","3,400"
Ukraine,"2,218","1,935","2,363","3,157","2,516","2,263","2,484","2,539","2,375","3,365"
Bangladesh,"2,897","2,939","2,104","4,721","2,694","2,630","3,792","2,233","3,304","3,230"
Egypt,"2,355","3,347","3,495","5,982","4,663","5,550","4,165","3,159","3,762","3,089"
Haiti,"1,598","2,488","2,079","4,730","6,469","5,855","4,147","3,315","2,727","2,921"
Algeria,"3,623","4,005","5,390","4,751","4,325","3,762","4,325","3,653","2,835","2,821"
Afghanistan,"2,652","2,110","1,745","1,758","2,203","2,635","2,003","1,489","2,587","2,635"
"Congo, Democratic Republic of the","1,465","1,395","1,580","1,237","1,217","1,711","2,050","1,749","1,714","2,550"
Vietnam,"2,574","1,784","2,171","1,942","1,723","1,729","2,112","2,494","2,591","2,446"
Colombia,"5,357","5,449","4,652","5,218","4,366","3,736","3,633","2,859","2,181","2,442"
Russia,"2,983","2,690","2,931","2,288","1,963","2,077","2,462","1,772","2,147","2,430"
Iraq,"2,406","3,543","5,450","5,941","6,196","4,036","4,912","3,894","3,980","2,412"
Israel,"2,401","2,559","2,316","2,755","1,967","2,132","1,945","1,900","2,132","2,400"
"Ireland, Republic of",300,412,395,548,524,725,"1,015","1,977","2,081","2,218"
